#-----------------------------------------------------------------------------------------#
| Socrates        | Aristotle       | Parmenides      | Spinoza         | Nietzsche       |
#-----------------------------------------------------------------------------------------#
| thinking        | thinking        | thinking        | thinking        | thinking        |
| eating          | waiting left    | waiting right   | eating          | waiting right   |
#-----------------------------------------------------------------------------------------#
| Socrates        | Aristotle       | Parmenides      | Spinoza         | Nietzsche       |
#-----------------------------------------------------------------------------------------#
| thinking        | thinking        | thinking        | thinking        | thinking        |
| eating          | waiting left    | waiting right   | eating          | waiting right   |
| thinking        | eating          | waiting left    | thinking        | eating          |
| eating          | thinking        | eating          | waiting left    | thinking        |
| thinking        | eating          | thinking        | eating          | waiting left    |
| waiting left    | thinking        | eating          | thinking        | eating          |
| eating          | waiting left    | thinking        | eating          | thinking        |
| thinking        | eating          | waiting left    | thinking        | eating          |
| eating          | thinking        | eating          | waiting left    | thinking        |
| thinking        | eating          | thinking        | eating          | waiting left    |
| waiting left    | thinking        | eating          | thinking        | eating          |
| eating          | waiting left    | thinking        | eating          | thinking        |
| thinking        | eating          | waiting left    | thinking        | eating          |
| eating          | thinking        | eating          | waiting left    | thinking        |
| thinking        | eating          | thinking        | eating          | waiting left    |
| waiting left    | thinking        | eating          | thinking        | eating          |
| eating          | waiting left    | thinking        | eating          | thinking        |
| thinking        | eating          | waiting left    | thinking        | eating          |
| eating          | thinking        | eating          | waiting left    | thinking        |
| thinking        | eating          | thinking        | eating          | waiting left    |
| waiting left    | thinking        | eating          | thinking        | eating          |
| eating          | waiting left    | thinking        | eating          | thinking        |
| thinking        | eating          | waiting left    | thinking        | eating          |
| eating          | thinking        | eating          | waiting left    | thinking        |
| thinking        | eating          | thinking        | eating          | waiting left    |
| waiting left    | thinking        | eating          | thinking        | eating          |
| eating          | waiting left    | thinking        | eating          | thinking        |
| thinking        | eating          | waiting left    | thinking        | eating          |
| eating          | thinking        | eating          | waiting left    | thinking        |
| thinking        | eating          | thinking        | eating          | waiting left    |
#-----------------------------------------------------------------------------------------#
#-----------------------------------------------------------------------------------------#
| Socrates        | Aristotle       | Parmenides      | Spinoza         | Nietzsche       |
#-----------------------------------------------------------------------------------------#
| thinking        | thinking        | thinking        | thinking        | thinking        |
| eating          | waiting left    | eating          | waiting left    | waiting right   |
| thinking        | eating          | thinking        | eating          | waiting left    |
| waiting left    | thinking        | eating          | thinking        | eating          |
| eating          | waiting left    | thinking        | eating          | thinking        |
#-----------------------------------------------------------------------------------------#
